RANK,Team,Matches,Kills(HS),DmgDealt,Assists,AVG.DmgDealt,LongestKill,AVG.TimeSurvived,AVG.DisMoved
1,"Danawa e-sports",18,"86(20)",20585.81,43,1143.66,"593.87m","32:58","495395.33km"
2,"Petrichor Road",18,"83(16)",14966.71,46,831.48,"396.16m","18:32","305555.81km"
3,"17Gaming",18,"78(17)",14133.63,33,785.2,"364.94m","33:07","332500.83km"
4,"Twisted Minds",18,"74(16)",17503,61,972.39,"716.14m","30:49","349675.2km"
5,"Tianba Esports",18,"73(14)",14356.71,40,797.6,"278.59m","21:45","364171.95km"
6,"NH-ESPORTS",18,"72(17)",13328.24,34,740.46,"391.89m","28:48","382076.95km"
7,"FaZe Clan",18,"70(22)",15150.95,43,841.72,"435.73m","20:20","356758.89km"
8,"Cerberus Esports",18,"68(21)",17320.05,44,962.23,"402.36m","27:35","392747.12km"
9,"Luminosity Gaming",18,"66(13)",14908.81,31,828.27,"396.18m","23:09","394331.09km"
10,"V7 FUNPIN",18,"62(17)",14189.63,40,788.31,"347.83m","14:29","315042.55km"
11,"TYLOO",18,"59(13)",11195.25,27,621.96,"423.67m","17:40","401280.44km"
12,"Daytrade Gaming",18,"57(13)",12825.93,36,712.55,"278.39m","27:20","414649.82km"
13,"Spacestation Gaming",18,"55(22)",11572.09,29,642.89,"537.57m","16:09","419806.07km"
14,"Soniqs",18,"52(11)",13029.66,26,723.87,"566.27m","20:15","383400.4km"
15,"Gen.G",18,"48(12)",10820.44,32,601.14,"263.4m","21:27","353899.45km"
16,"THEERATHON FIVE",18,"41(9)",14619.33,29,812.18,"389.45m","24:01","305471.21km"
